en,fr,it,de,es,ko,kana
,Pokémon Ver Caché,Pokémon Larva,Beutelwurm,Pokémon Larva,도롱이벌레포켓몬,みのむしポケモン
,Pokémon Phalène,Pokémon Falena,Motte,Pokémon Polilla,나방포켓몬,ミノガポケモン
,Pokémon Miniabeille,Pokémon Apetta,Kleinbienen-Pokémon,Pokémon Abejita,꼬마벌포켓몬,はちのこポケモン
,Pokémon Ruche,Pokémon Alveare,Bienenstock-Pokémon,Pokémon Colmena,벌집포켓몬,はちのすポケモン
Beloved Stockmonster,Pokémon Écurélec,Pokémon Elescoiatto,Elektrohörnchen,Pokémon Ardillalec,전기다람쥐포켓몬,でんきりすポケモン
Sea Weasel Stockmonster,Pokémon Aquabelette,Pokémon Maridonnola,Meereswiesel,Pokémon Nutria Mar.,바다족제비포켓몬,うみイタチポケモン
Sea Weasel Stockmonster,Pokémon Aquabelette,Pokémon Maridonnola,Meereswiesel,Pokémon Nutria Mar.,바다족제비포켓몬,うみイタチポケモン
,Pokémon Cerise,Pokémon Ciliegia,Kirschen-Pokémon,Pokémon Cereza,버찌포켓몬,さくらんぼポケモン
,Pokémon Floraison,Pokémon Bocciolo,Blüten-Pokémon,Pokémon Floración,벚꽃포켓몬,サクラポケモン
Sea Slug Stockmonster,Pokémon Aqualimace,Pokémon Lumacomare,Seeschnecken-Pokémon,Pokémon Babosa Marina,갯민숭달팽이포켓몬,ウミウシポケモン
Sea Slug Stockmonster,Pokémon Aqualimace,Pokémon Lumacomare,Seeschnecken-Pokémon,Pokémon Babosa Marina,갯민숭달팽이포켓몬,ウミウシポケモン
,Pokémon Longqueue,Pokémon Lungacoda,Langschweif,Pokémon Cola Larga,긴꼬리포켓몬,おながポケモン
,Pokémon Bouboule,Pokémon Pallone,Ballon-Pokémon,Pokémon Globo,풍선포켓몬,ふうせんポケモン
,Pokémon Ballon,Pokémon Dirigibile,Luftschiff-Pokémon,Pokémon Dirigible,기구포켓몬,ききゅうポケモン
,Pokémon Lapin,Pokémon Coniglio,Hasen-Pokémon,Pokémon Conejo,토끼포켓몬,うさぎポケモン
,Pokémon Lapin,Pokémon Coniglio,Hasen-Pokémon,Pokémon Conejo,토끼포켓몬,うさぎポケモン
,Pokémon Magique,Pokémon Stregone,Magisch,Pokémon Mágico,매지컬포켓몬,マジカルポケモン
,Pokémon Big Boss,Pokémon Grancapo,Anführer,Pokémon Gran Jefe,큰형님포켓몬,おおボスポケモン
Aesthetic Stockmonster,Pokémon Chafouin,Pokémon Felide,Fies,Pokémon Gastuto,내숭포켓몬,ねこかぶりポケモン
Grinning Stockmonster,Pokémon Chatigre,Pokémon Gattotigre,Tigerkatze,Pokémon Tigre Gato,얼룩고양이포켓몬,とらねこポケモン
,Pokémon Clochette,Pokémon Sonaglio,Glöckchen,Pokémon Campana,방울포켓몬,すずポケモン
,Pokémon Moufette,Pokémon Moffetta,Stinktier-Pokémon,Pokémon Mofeta,스컹크포켓몬,スカンクポケモン
,Pokémon Moufette,Pokémon Moffetta,Stinktier-Pokémon,Pokémon Mofeta,스컹크포켓몬,スカンクポケモン
Bronze Stockmonster,Pokémon Bronze,Pokémon Bronzo,Bronze-Pokémon,Pokémon Bronce,청동포켓몬,せいどうポケモン
,Pokémon Clochebronze,Pokémon Squibronzo,Bronzeglocken-Pokémon,Pokémon Campana Bronce,동탁포켓몬,どうたくポケモン
,Pokémon Bonsaï,Pokémon Bonsai,Bonsai-Pokémon,Pokémon Bonsái,분재포켓몬,ぼんさいポケモン
,Pokémon Mime,Pokémon Mimo,Mimen-Pokémon,Pokémon Mimo,따라하기포켓몬,マイムポケモン
,Pokémon Maisonjouet,Pokémon Ovettino,Spielhaus-Pokémon,Pokémon Casita,소꿉놀이포켓몬,ままごとポケモン
,Pokémon Note Musique,Pokémon Musicale,Musiknote,Pokémon Corchea,음표포켓몬,おんぷポケモン
,Pokémon Interdit,Pokémon Proibito,Verboten-Pokémon,Pokémon Prohibido,봉인포켓몬,ふういんポケモン
,Pokémon Terrequin,Pokémon Squaloterra,Landhai-Pokémon,Pokémon Terrascualo,육지상어포켓몬,りくザメポケモン
,Pokémon Caverne,Pokémon Grotta,Höhlen-Pokémon,Pokémon Cueva,동굴포켓몬,ほらあなポケモン
,Pokémon Supersonic,Pokémon Mach,Rasanz-Pokémon,Pokémon Mach,마하포켓몬,マッハポケモン
,Pokémon Goinfre,Pokémon Ghiottone,Nimmersatt-Pokémon,Pokémon Comilón,대식가포켓몬,おおぐいポケモン
,Pokémon Émanation,Pokémon Emanazione,Wellenspiel-Pokémon,Pokémon Emanación,파문포켓몬,はもんポケモン
,Pokémon Aura,Pokémon Aura,Aura-Pokémon,Pokémon Aura,파동포켓몬,はどうポケモン
,Pokémon Hippo,Pokémon Ippo,Flusspferd-Pokémon,Pokémon Hipo,하마포켓몬,カバポケモン
Viral Stockmonster,Pokémon Poids Lourd,Pokémon Grandepeso,Schwergewichts-Pokémon,Pokémon Peso Pesado,중량포켓몬,じゅうりょうポケモン
Scorpion Stockmonster,Pokémon Scorpion,Pokémon Scorpione,Skorpion-Pokémon,Pokémon Escorpión,전갈포켓몬,さそりポケモン
,Pokémon Scorpogre,Pokémon Scorpiaccio,Ogerskorpion-Pokémon,Pokémon Escorpiogro,요괴전갈포켓몬,ばけさそりポケモン
Toxic Mouth Stockmonster,Pokémon Toxique,Pokémon Inveieleno,Giftmund-Pokémon,Pokémon Boca Tóxica,독설포켓몬,どくづきポケモン
Toxic Mouth Stockmonster,Pokémon Toxique,Pokémon Inveieleno,Giftmund-Pokémon,Pokémon Boca Tóxica,독설포켓몬,どくづきポケモン
Bug Catcher Stockmonster,Pokémon Chopinsecte,Pokémon Insettivoro,Käfertod,Pokémon Caza Bichos,벌레잡이포켓몬,むしとりポケモン
Wing Fish Stockmonster,Pokémon Poisson Ailé,Pokémon Pescealato,Flügelfisch,Pokémon Pez Ala,비어포켓몬,はねうおポケモン
,Pokémon Néon,Pokémon Neon,Neon,Pokémon Neón,네온포켓몬,ネオンポケモン
,Pokémon Cervolant,Pokémon Aquilone,Flugrochen-Pokémon,Pokémon Milano,연포켓몬,カイトポケモン
Frost Tree Stockmonster,Pokémon Arbregelé,Pokémon Albergelo,Frostbaum-Pokémon,Pokémon Árbol Nieve,얼음나무포켓몬,じゅひょうポケモン
Frost Tree Stockmonster,Pokémon Arbregelé,Pokémon Albergelo,Frostbaum-Pokémon,Pokémon Árbol Nieve,얼음나무포켓몬,じゅひょうポケモン
,Pokémon Grifacérée,Pokémon Lamartigli,Stichklauen-Pokémon,Pokémon Garra Filo,갈고리손톱포켓몬,かぎづめポケモン
,Pokémon Aimant,Pokémon Magnetico,Magnetgebiets-Pokémon,Pokémon Magnético,자기장포켓몬,じばポケモン
,Pokémon Lécheur,Pokémon Linguaccia,Schlecker-Pokémon,Pokémon Lametazo,핥기포켓몬,なめまわしポケモン
,Pokémon Perceur,Pokémon Trapano,Bohrer-Pokémon,Pokémon Taladro,드릴포켓몬,ドリルポケモン
Vine Stockmonster,Pokémon Vigne,Pokémon Liana,Ranken-Pokémon,Pokémon Enredadera,넝쿨포켓몬,ツルじょうポケモン
,Pokémon Foudrélec,Pokémon Saetta,Donnerkeil-Pokémon,Pokémon Rayo,뇌전포켓몬,らいでんポケモン
,Pokémon Explosion,Pokémon Esplosivo,Detonations-Pokémon,Pokémon Explosión,폭염포켓몬,ばくえんポケモン
,Pokémon Célébration,Pokémon Festa,Jubilierer-Pokémon,Pokémon Festejo,축복포켓몬,しゅくふくポケモン
Ogre Darner Stockmonster,Pokémon Libellogre,Pokémon Libellorco,Agrion,Pokémon Libélula,깨비잠자리포켓몬,オニトンボポケモン
,Pokémon Verdoyant,Pokémon Rigoglioso,Unreif-Pokémon,Pokémon Verdor,심록포켓몬,しんりょくポケモン
,Pokémon Poudreuse,Pokémon Nevefresca,Neuschnee-Pokémon,Pokémon Nieve Fresca,신설포켓몬,しんせつポケモン
,Pokémon Scorpicroc,Pokémon Scorpidente,Zahnskorpi,Pokémon Colmicorpio,송곳니전갈포켓몬,キバさそりポケモン
,Pokémon Deudéfenses,Pokémon Duezanne,Doppelstoßzahn-Pokémon,Pokémon Doscolmillos,2개송곳니포켓몬,２ほんキバポケモン
,Pokémon Virtuel,Pokémon Virtuale,Virtuell-Pokémon,Pokémon Virtual,가상포켓몬,バーチャルポケモン
Blade Stockmonster,Pokémon Lame,Pokémon Lama,Klingen-Pokémon,Pokémon Cuchilla,검포켓몬,やいばポケモン
,Pokémon Boussole,Pokémon Bussola,Kompass,Pokémon Brújula,콤파스포켓몬,コンパスポケモン
,Pokémon Mainpince,Pokémon Pinza,Greifer-Pokémon,Pokémon Grilletes,움켜쥠포켓몬,てづかみポケモン
,Pokémon Enneigement,Pokémon Suolnevoso,Schneegebiets-Pokémon,Pokémon Tierra Fría,설국포켓몬,ゆきぐにポケモン
,Pokémon Plasma,Pokémon Plasma,Plasma-Pokémon,Pokémon Plasma,플라스마포켓몬,プラズマポケモン
,Pokémon Savoir,Pokémon Sapienza,Wissens-Pokémon,Pokémon Sabiduría,지식포켓몬,ちしきポケモン
,Pokémon Émotion,Pokémon Emozione,Emotions-Pokémon,Pokémon Sensorio,감정포켓몬,かんじょうポケモン
,Pokémon Volonté,Pokémon Volontà,Willenskraft-Pokémon,Pokémon Voluntad,의지포켓몬,いしポケモン
,Pokémon Temps,Pokémon Tempo,Zeitweilig-Pokémon,Pokémon Temporal,시간포켓몬,じかんポケモン
,Pokémon Espace,Pokémon Spazio,Räumlich-Pokémon,Pokémon Espacial,공간포켓몬,くうかんポケモン
,Pokémon Caldeira,Pokémon Cratere,Lavadom-Pokémon,Pokémon Domo Lava,화구포켓몬,かこうポケモン
,Pokémon Prodigieux,Pokémon Colossale,Kolossal-Pokémon,Pokémon Colosal,거대포켓몬,きょだいポケモン
,Pokémon Renégat,Pokémon Ribelle,Rebellen-Pokémon,Pokémon Renegado,반골포켓몬,はんこつポケモン
,Pokémon Lunaire,Pokémon Falcato,Lunar-Pokémon,Pokémon Lunar,초승달포켓몬,みかづきポケモン
,Pokémon Dérivenmer,Pokémon Oceanbondo,Seedrift,Pokémon Marino,해양포켓몬,かいようポケモン
,Pokémon Voyagenmer,Pokémon Oceandante,Seefahrer,Pokémon Náutico,회유포켓몬,かいゆうポケモン
,Pokémon Noirtotal,Pokémon Neropesto,Dunkelnacht,Pokémon Oscuridad,암흑포켓몬,あんこくポケモン
,Pokémon Gratitude,Pokémon Gratitudine,Dankbarkeit,Pokémon Gratitud,감사포켓몬,かんしゃポケモン
,Pokémon Alpha,Pokémon Primevo,Alpha,Pokémon Alfa,창조포켓몬,そうぞうポケモン
,Pokémon Victoire,Pokémon Vittoria,Triumph-Pokémon,Pokémon Victoria,승리포켓몬,しょうりポケモン
,Pokémon Serpenterbe,Pokémon Serperba,Grasschlange,Pokémon Serp. Hierba,풀뱀포켓몬,くさへびポケモン
,Pokémon Serpenterbe,Pokémon Serperba,Grasschlange,Pokémon Serp. Hierba,풀뱀포켓몬,くさへびポケモン
Regal Stockmonster,Pokémon Majestueux,Pokémon Regale,Hoheit,Pokémon Realeza,로열포켓몬,ロイヤルポケモン
,Pokémon Cochon Feu,Pokémon Suinfuoco,Feuerferkel,Pokémon Cerdo Fuego,불돼지포켓몬,ひぶたポケモン
,Pokémon Cochon Feu,Pokémon Suinfuoco,Feuerferkel,Pokémon Cerdo Fuego,불돼지포켓몬,ひぶたポケモン
,Pokémon Grochon Feu,Pokémon Suincendio,Feuerschwein,Pokémon Cerdo Ígneo,큰불돼지포켓몬,おおひぶたポケモン
,Pokémon Loutre,Pokémon Lontra,Otter,Pokémon Nutria,해달포켓몬,ラッコポケモン
,Pokémon Entraînement,Pokémon Apprendista,Schulung,Pokémon Superación,수행포켓몬,しゅぎょうポケモン
,Pokémon Dignitaire,Pokémon Dignità,Würde,Pokémon Majestuoso,관록포켓몬,かんろくポケモン
,Pokémon Espion,Pokémon Esplorante,Späher,Pokémon Explorador,망보기포켓몬,みはりポケモン
,Pokémon Vigilant,Pokémon Sentinella,Wachsamkeit,Pokémon Alerta,경계포켓몬,けいかいポケモン
Beanie Stockmonster,Pokémon Chiot,Pokémon Cagnolino,Welpen-Pokémon,Pokémon Perrito,강아지포켓몬,こいぬポケモン
Shaggy Stockmonster,Pokémon Chien Fidèle,Pokémon Fedeltà,Treuhund-Pokémon,Pokémon Leal,충견포켓몬,ちゅうけんポケモン
,Pokémon Magnanime,Pokémon Generosità,Großmut-Pokémon,Pokémon Magnánimo,관대포켓몬,かんだいポケモン
,Pokémon Scélérat,Pokémon Furbizia,Schelm-Pokémon,Pokémon Malicioso,성악포켓몬,しょうわるポケモン
,Pokémon Implacable,Pokémon Sanguefreddo,Gefühlskälte-Pokémon,Pokémon Calculador,냉혹포켓몬,れいこくポケモン
,Pokémon Singe Herbe,Pokémon Scimperba,Grasaffe,Pokémon Mono Hierba,풀원숭이포켓몬,くさざるポケモン
,Pokémon Singépine,Pokémon Spinpanzé,Stachelaffe,Pokémon Mono Pincho,가시원숭이포켓몬,とげざるポケモン
,Pokémon Brûlant,Pokémon Testacalda,Hitze,Pokémon Ardiente,고온포켓몬,こうおんポケモン
,Pokémon Braise,Pokémon Sfavillante,Funkenregen,Pokémon Lumbre,불티포켓몬,ひのこポケモン
,Pokémon Jet d’Eau,Pokémon Annaffiatore,Wasserstrahl,Pokémon Salpicadura,물뿌리기포켓몬,みずかけポケモン
,Pokémon Drainage,Pokémon Spruzzacqua,Drainage,Pokémon Drenaje,방수포켓몬,ほうすいポケモン
,Pokémon Mangerêve,Pokémon Divorasogni,Traumfresser-Pokémon,Pokémon Comesueños,꿈먹기포켓몬,ゆめくいポケモン
Prophecy Stockmonster,Pokémon Rêveur,Pokémon Dormiveglia,Halbschlaf-Pokémon,Pokémon Duermevela,꿈결포켓몬,ゆめうつつポケモン
,Pokémon Tipigeon,Pokémon Piccione,Täubchen-Pokémon,Pokémon Pichón,아기비둘기포켓몬,こばとポケモン
,Pokémon Sauvapigeon,Pokémon Granpiccione,Wildtauben-Pokémon,Pokémon Torcaz,들비둘기포켓몬,のばとポケモン
,Pokémon Fier,Pokémon Orgoglio,Stolz-Pokémon,Pokémon Altanero,프라이드포켓몬,プライドポケモン
,Pokémon Étincélec,Pokémon Caricavolt,Hochspannung,Pokémon Electrizado,하전포켓몬,たいでんポケモン
,Pokémon Foudrélec,Pokémon Saetta,Donnerkeil,Pokémon Rayo,뇌전포켓몬,らいでんポケモン
Mantle Stockmonster,Pokémon Manteau,Pokémon Placca,Erdmantel-Pokémon,Pokémon Manto,맨틀포켓몬,マントルポケモン
,Pokémon Minerai,Pokémon Minerale,Erz-Pokémon,Pokémon Mineral,광석포켓몬,こうせきポケモン
,Pokémon Surpression,Pokémon Pressionalta,Kompressions-Pokémon,Pokémon Presurizado,고압포켓몬,こうあつポケモン
,Pokémon Chovsouris,Pokémon Pipistrello,Fledermaus-Pokémon,Pokémon Murciélago,박쥐포켓몬,こうもりポケモン
,Pokémon Cupidon,Pokémon Cercamore,Balz-Pokémon,Pokémon Galante,구애포켓몬,きゅうあいポケモン
Mole Stockmonster,Pokémon Taupe,Pokémon Talpa,Maulwurf-Pokémon,Pokémon Topo,두더지포켓몬,もぐらポケモン
,Pokémon Souterrain,Pokémon Sottoterra,Untergrund-Pokémon,Pokémon Subterráneo,땅밑포켓몬,ちていポケモン
,Pokémon Audition,Pokémon Ascolto,Gehör-Pokémon,Pokémon Escucha,히어링포켓몬,ヒヤリングポケモン
,Pokémon Costaud,Pokémon Forzaimmane,Muskel-Pokémon,Pokémon Musculoso,근골포켓몬,きんこつポケモン
,Pokémon Costaud,Pokémon Forzaimmane,Muskel-Pokémon,Pokémon Musculoso,근골포켓몬,きんこつポケモン
,Pokémon Costaud,Pokémon Forzaimmane,Muskel-Pokémon,Pokémon Musculoso,근골포켓몬,きんこつポケモン
Tadpole Stockmonster,Pokémon Têtard,Pokémon Girino,Kaulquappen-Pokémon,Pokémon Renacuajo,올챙이포켓몬,おたまポケモン
Vibration Stockmonster,Pokémon Vibration,Pokémon Vibrazione,Vibrations-Pokémon,Pokémon Vibrante,진동포켓몬,しんどうポケモン
Feels Good Stockmonster,Pokémon Vibration,Pokémon Vibrazione,Vibrations-Pokémon,Pokémon Vibrante,진동포켓몬,しんどうポケモン
,Pokémon Judo,Pokémon Judo,Judo-Pokémon,Pokémon Judo,유도포켓몬,じゅうどうポケモン
,Pokémon Karaté,Pokémon Karate,Karate-Pokémon,Pokémon Kárate,태권도포켓몬,からてポケモン
,Pokémon Couture,Pokémon Grancucito,Schneider,Pokémon Sastre,재봉포켓몬,さいほうポケモン
,Pokémon Capefeuille,Pokémon Coprifoglia,Wickelblatt,Pokémon Arropado,잎숨기포켓몬,はごもりポケモン
,Pokémon Précepteur,Pokémon Balia,Kinderpflege,Pokémon Cuidador,육아포켓몬,こそだてポケモン
Centipede Stockmonster,Pokémon Chilopode,Pokémon Centipede,Tausendfüßer-Pokémon,Pokémon Ciempiés,지네포켓몬,ムカデポケモン
Curlipede Stockmonster,Pokémon Coconplopode,Pokémon Rotopede,Kokonfüßer-Pokémon,Pokémon Pupaciempiés,눈썹지네포켓몬,まゆムカデポケモン
,Pokémon Mégaplopode,Pokémon Megapede,Riesenfüßer-Pokémon,Pokémon Megaciempiés,메가지네포켓몬,メガムカデポケモン
,Pokémon Boule Coton,Pokémon Cotonpalla,Wattebausch-Pokémon,Pokémon Bolalgodón,솜뭉치포켓몬,わたたまポケモン
,Pokémon Vole Vent,Pokémon Spiffero,Windschatten-Pokémon,Pokémon Vuelalviento,바람숨기포켓몬,かぜかくれポケモン
,Pokémon Racine,Pokémon Radice,Wurzel-Pokémon,Pokémon Bulbo,뿌리포켓몬,ねっこポケモン
,Pokémon Chef-Fleur,Pokémon Fiorfronzolo,Blumenzier-Pokémon,Pokémon Adornofloral,꽃장식포켓몬,はなかざりポケモン
,Pokémon Violent,Pokémon Irruenza,Grobheits-Pokémon,Pokémon Violento,흉포포켓몬,らんぼうポケモン
,Pokémon Croco Sable,Pokémon Sabbiadrillo,Wüstenkroko-Pokémon,Pokémon Desierdrilo,사막악어포켓몬,さばくワニポケモン
Swamp Stockmonster,Pokémon Croco Sable,Pokémon Sabbiadrillo,Wüstenkroko-Pokémon,Pokémon Desierdrilo,사막악어포켓몬,さばくワニポケモン
,Pokémon Intimidation,Pokémon Minaccia,Abschreckungs-Pokémon,Pokémon Amenazador,위협포켓몬,いかくポケモン
,Pokémon Daruma,Pokémon Daruma,Lampion-Pokémon,Pokémon Daruma,달마포켓몬,だるまポケモン
,Pokémon Enflammé,Pokémon Altefiamme,Lichterloh-Pokémon,Pokémon Candente,염상포켓몬,えんじょうポケモン
,Pokémon Cactus,Pokémon Cactus,Kaktus-Pokémon,Pokémon Cactus,선인장포켓몬,サボテンポケモン
,Pokémon Lithicole,Pokémon Pietracasa,Steinhaus-Pokémon,Pokémon Casapiedra,돌집포켓몬,いしやどポケモン
,Pokémon Lapidicole,Pokémon Scogliocasa,Felshaus-Pokémon,Pokémon Casarroca,바위집포켓몬,いわやどポケモン
Degenerate Stockmonster,Pokémon Mue,Pokémon Mutapelle,Hautwechsel-Pokémon,Pokémon Mudapiel,탈피포켓몬,だっぴポケモン
Coiled Stockmonster,Pokémon Gang,Pokémon Furfante,Halunken-Pokémon,Pokémon Gamberro,악당포켓몬,あくとうポケモン
,Pokémon Similoiseau,Pokémon Pseuduccello,Vogelgleich-Pokémon,Pokémon Pseudopájaro,흡사새포켓몬,とりもどきポケモン
,Pokémon Âme,Pokémon Fatuanima,Seelen-Pokémon,Pokémon Espíritu,영혼포켓몬,たましいポケモン
,Pokémon Cercueil,Pokémon Bara,Sarkophag-Pokémon,Pokémon Sepultura,관포켓몬,かんおけポケモン
,Pokémon Tortantique,Pokémon Ancestruga,Urzeitkröten-Pokémon,Pokémon Pretortuga,옛날거북포켓몬,こだいがめポケモン
,Pokémon Tortantique,Pokémon Ancestruga,Urzeitkröten-Pokémon,Pokémon Pretortuga,옛날거북포켓몬,こだいがめポケモン
,Pokémon Oisancien,Pokémon Paleouccello,Urzeitvogel-Pokémon,Pokémon Protopájaro,최초새포켓몬,さいこどりポケモン
,Pokémon Oisancien,Pokémon Paleouccello,Urzeitvogel-Pokémon,Pokémon Protopájaro,최초새포켓몬,さいこどりポケモン
,Pokémon Sac Poubelle,Pokémon Spazzatura,Mülltüten-Pokémon,Pokémon Bolsa Basura,쓰레기봉투포켓몬,ゴミぶくろポケモン
,Pokémon Dépotoir,Pokémon Discarica,Müllhalden-Pokémon,Pokémon Vertedero,쓰레기장포켓몬,ゴミすてばポケモン
,Pokémon Sombrenard,Pokémon Malavolpe,Lausefuchs-Pokémon,Pokémon Zorro Pillo,나쁜여우포켓몬,わるぎつねポケモン
,Pokémon Polymorfox,Pokémon Mutevolpe,Polymorfuchs-Pokémon,Pokémon Disfrazorro,요괴여우포켓몬,ばけぎつねポケモン
,Pokémon Chinchilla,Pokémon Cincillà,Chinchilla-Pokémon,Pokémon Chinchilla,친칠라포켓몬,チンチラポケモン
,Pokémon Écharpe,Pokémon Sciarpa,Schal-Pokémon,Pokémon Estola,스카프포켓몬,スカーフポケモン
,Pokémon Dévisageur,Pokémon Fissosguardo,Glotz-Pokémon,Pokémon Inquisitivo,응시포켓몬,ぎょうしポケモン
,Pokémon Magouilleur,Pokémon Raggiro,Manipulator-Pokémon,Pokémon Manipulador,조작포켓몬,あやつりポケモン
,Pokémon Cosmique,Pokémon Corpoceleste,Gestirns-Pokémon,Pokémon Astro,천체포켓몬,てんたいポケモン
,Pokémon Cellule,Pokémon Cellula,Zellen-Pokémon,Pokémon Célula,세포포켓몬,さいぼうポケモン
,Pokémon Divisé,Pokémon Scissione,Zellteilungs-Pokémon,Pokémon Mitosis,분할포켓몬,ぶんかつポケモン
,Pokémon Multiplié,Pokémon Espansione,Vermehrungs-Pokémon,Pokémon Ampliación,증폭포켓몬,ぞうふくポケモン
Cheerful Stockmonster,Pokémon Oiseaudo,Pokémon Alacquatico,Wasservogel,Pokémon Ave Agua,물새포켓몬,みずどりポケモン
,Pokémon Cygne,Pokémon Biancuccello,Schwan,Pokémon Cisne,백조포켓몬,しらとりポケモン
,Pokémon Poudreuse,Pokémon Nevefresca,Neuschnee-Pokémon,Pokémon Nieve Fresca,신설포켓몬,しんせつポケモン
,Pokémon Grêle,Pokémon Geloneve,Firn-Pokémon,Pokémon Nieve Helada,빙설포켓몬,ひょうせつポケモン
,Pokémon Congère,Pokémon Bufera,Schneesturm-Pokémon,Pokémon Nieve Gélida,블리자드포켓몬,ブリザードポケモン
,Pokémon Saison,Pokémon Stagione,Jahreszeit,Pokémon Estacional,계절포켓몬,きせつポケモン
,Pokémon Saison,Pokémon Stagione,Jahreszeit,Pokémon Estacional,계절포켓몬,きせつポケモン
,Pokémon Pteromys,Pokémon Petauro,Flughörnchen-Pokémon,Pokémon Vuelardilla,하늘다람쥐포켓몬,モモンガポケモン
,Pokémon Carabe,Pokémon Addentatore,Schnappbiss-Pokémon,Pokémon Bocado,덥석물기포켓몬,かぶりつきポケモン
,Pokémon Chevalier,Pokémon Cavaliere,Kavallerie-Pokémon,Pokémon Soldado,기병포켓몬,きへいポケモン
,Pokémon Champignon,Pokémon Fungo,Pilz-Pokémon,Pokémon Hongo,버섯포켓몬,きのこポケモン
,Pokémon Champignon,Pokémon Fungo,Pilz-Pokémon,Pokémon Hongo,버섯포켓몬,きのこポケモン
Floating Stockmonster,Pokémon Flottaison,Pokémon Fluttuante,Gleit-Pokémon,Pokémon Ingrávido,부유포켓몬,ふゆうポケモン
,Pokémon Flottaison,Pokémon Fluttuante,Gleit-Pokémon,Pokémon Ingrávido,부유포켓몬,ふゆうポケモン
,Pokémon Soigneur,Pokémon Assistenza,Fürsorge,Pokémon Socorrista,돌보기포켓몬,かいほうポケモン
,Pokémon Crampon,Pokémon Appiccicante,Kleben-Pokémon,Pokémon Lapa,들러붙기포켓몬,くっつきポケモン
,Pokémon Araclectrik,Pokémon Elettroragno,Stromspinnen-Pokémon,Pokémon Electroaraña,전기거미포켓몬,でんきグモポケモン
,Pokémon Graine Épine,Pokémon Spinaseme,Dornfrucht-Pokémon,Pokémon Fruto Espina,가시열매포켓몬,とげのみポケモン
,Pokémon Boule Épine,Pokémon Spinasfere,Dornkugel-Pokémon,Pokémon Bola Espina,가시공포켓몬,とげだまポケモン
,Pokémon Engrenage,Pokémon Ingranaggio,Getriebe-Pokémon,Pokémon Engranaje,톱니바퀴포켓몬,はぐるまポケモン
Gear Stockmonster,Pokémon Engrenage,Pokémon Ingranaggio,Getriebe-Pokémon,Pokémon Engranaje,톱니바퀴포켓몬,はぐるまポケモン
Gear Stockmonster,Pokémon Engrenage,Pokémon Ingranaggio,Getriebe-Pokémon,Pokémon Engranaje,톱니바퀴포켓몬,はぐるまポケモン
EleFish Stockmonster,Pokémon Électrophore,Pokémon Elettropesce,Stromfisch,Pokémon Electropez,전기물고기포켓몬,でんきうおポケモン
,Pokémon Électrophore,Pokémon Elettropesce,Stromfisch,Pokémon Electropez,전기물고기포켓몬,でんきうおポケモン
EleFish Stockmonster,Pokémon Électrophore,Pokémon Elettropesce,Stromfisch,Pokémon Electropez,전기물고기포켓몬,でんきうおポケモン
,Pokémon Cerveau,Pokémon Cervello,Grips-Pokémon,Pokémon Cerebro,브레인포켓몬,ブレインポケモン
,Pokémon Cerveau,Pokémon Cervello,Grips-Pokémon,Pokémon Cerebro,브레인포켓몬,ブレインポケモン
,Pokémon Chandelle,Pokémon Candela,Kerzen-Pokémon,Pokémon Vela,양초포켓몬,ろうそくポケモン
,Pokémon Lampe,Pokémon Lanterna,Lampen-Pokémon,Pokémon Farolillo,램프포켓몬,ランプポケモン
,Pokémon Invitation,Pokémon Attiranime,Geleit-Pokémon,Pokémon Señuelo,권유포켓몬,いざないポケモン
,Pokémon Crocs,Pokémon Zanna,Stoßzahn-Pokémon,Pokémon Colmillo,이빨포켓몬,キバポケモン
,Pokémon Hachomenton,Pokémon Mascellascia,Beilkiefer-Pokémon,Pokémon Boca Hacha,도끼턱포켓몬,あごオノポケモン
,Pokémon Hachomenton,Pokémon Mascellascia,Beilkiefer-Pokémon,Pokémon Boca Hacha,도끼턱포켓몬,あごオノポケモン
,Pokémon Gelé,Pokémon Freddo,Eisschollen-Pokémon,Pokémon Congelación,빙결포켓몬,ひょうけつポケモン
,Pokémon Congelé,Pokémon Glaciale,Packeis-Pokémon,Pokémon Glaciación,동결포켓몬,とうけつポケモン
,Pokémon Cristal,Pokémon Cristallo,Kristall-Pokémon,Pokémon Cristal,결정포켓몬,けっしょうポケモン
,Pokémon Escargot,Pokémon Lumachina,Schnecken-Pokémon,Pokémon Caracol,달팽이포켓몬,マイマイポケモン
,Pokémon Exuviateur,Pokémon Sgusciato,Entschalungs-Pokémon,Pokémon Sincaparazón,탈껍질포켓몬,からぬけポケモン
,Pokémon Piège,Pokémon Trappola,Falle-Pokémon,Pokémon Trampa,트랩포켓몬,トラップポケモン
,Pokémon Art Martial,Pokémon Marziale,Kampfkünste-Pokémon,Pokémon Arte Marcial,무술포켓몬,ぶじゅつポケモン
,Pokémon Art Martial,Pokémon Marziale,Kampfkünste-Pokémon,Pokémon Arte Marcial,무술포켓몬,ぶじゅつポケモン
,Pokémon Caverne,Pokémon Grotta,Höhlen-Pokémon,Pokémon Cueva,동굴포켓몬,ほらあなポケモン
,Pokémon Golem Ancien,Pokémon Statuanimata,Urgolem-Pokémon,Pokémon Autómata,골렘포켓몬,ゴーレムポケモン
,Pokémon Golem Ancien,Pokémon Statuanimata,Urgolem-Pokémon,Pokémon Autómata,골렘포켓몬,ゴーレムポケモン
