en,fr,it,de,es,ko,kana
Vertivore,Bombydou,Cutiefly,Wommel,Cutiefly,에블리,アブリー
Viasatyr,Rubombelle,Ribombee,Bandelby,Ribombee,에리본,アブリボン
Vistrike,Rocabot,Rockruff,Wuffels,Rockruff,암멍이,イワンコ
Flokrag,Lougaroc,Lycanroc,Wolwerock,Lycanroc,루가루암,ルガルガン
Vtitan,Froussardine,Wishiwashi,Lusardin,Wishiwashi,약어리,ヨワシ
,Vorastérie,Mareanie,Garstella,Mareanie,시마사리,ヒドイデ
,Prédastérie,Toxapex,Aggrostella,Toxapex,더시마사리,ドヒドイデ
Wdaywalker,Tiboudet,Mudbray,Pampuli,Mudbray,머드나기,ドロバンコ
Wdcache,Bourrinos,Mudsdale,Pampross,Mudsdale,만마드,バンバドロ
Terawulf,Araqua,Dewpider,Araqua,Dewpider,물거미,シズクモ
,Tarenbulle,Araquanid,Aranestro,Araquanid,깨비물거미,オニシズクモ
,Mimantis,Fomantis,Imantis,Fomantis,짜랑랑,カリキリ
,Floramantis,Lurantis,Mantidea,Lurantis,라란티스,ラランテス
Wyfiber,Spododo,Morelull,Bubungus,Morelull,자마슈,ネマシュ
Xlkraken,Lampignon,Shiinotic,Lamellux,Shiinotic,마셰이드,マシェード
Xanaduir,Tritox,Salandit,Molunk,Salandit,야도뇽,ヤトウモリ
,Malamandre,Salazzle,Amfira,Salazzle,염뉴트,エンニュート
Chillbear,Nounourson,Stufful,Velursi,Stufful,포곰곰,ヌイコグマ
Bobocub,Chelours,Bewear,Kosturso,Bewear,이븐곰,キテルグマ
,Croquine,Bounsweet,Frubberl,Bounsweet,달콤아,アマカジ
,Candine,Steenee,Frubaila,Steenee,달무리나,アママイコ
,Sucreine,Tsareena,Fruyal,Tsareena,달코퀸,アマージョ
,Guérilande,Comfey,Curelei,Comfey,큐아링,キュワワー
Bomesage,Gouroutan,Oranguru,Kommandutan,Oranguru,하랑우탄,ヤレユータン
Ponkey,Quartermac,Passimian,Quartermak,Passimian,내던숭이,ナゲツケサル
,Sovkipou,Wimpod,Reißlaus,Wimpod,꼬시레,コソクムシ
,Sarmuraï,Golisopod,Tectass,Golisopod,갑주무사,グソクムシャ
Xomoloch,Bacabouh,Sandygast,Sankabuh,Sandygast,모래꿍,スナバァ
,Trépassable,Palossand,Colossand,Palossand,모래성이당,シロデスナ
,Concombaffe,Pyukumuku,Gufa,Pyukumuku,해무기,ナマコブシ
,Type:0,Tipo Zero,Typ:Null,Código Cero,타입:널,タイプ：ヌル
,Silvallié,Silvally,Amigento,Silvally,실버디,シルヴァディ
,Météno,Minior,Meteno,Minior,메테노,メテノ
,Dodoala,Komala,Koalelu,Komala,자말라,ネッコアラ
Zoomorph,Boumata,Turtonator,Tortunator,Turtonator,폭거북스,バクガメス
,Togedemaru,Togedemaru,Togedemaru,Togedemaru,토게데마루,トゲデマル
,Mimiqui,Mimikyu,Mimigma,Mimikyu,따라큐,ミミッキュ
,Denticrisse,Bruxish,Knirfish,Bruxish,치갈기,ハギギシリ
,Draïeul,Drampa,Sen-Long,Drampa,할비롱,ジジーロン
Zsceptre,Sinistrail,Dhelmise,Moruda,Dhelmise,타타륜,ダダリン
,Bébécaille,Jangmo-o,Miniras,Jangmo-o,짜랑꼬,ジャラコ
,Écaïd,Hakamo-o,Mediras,Hakamo-o,짜랑고우,ジャランゴ
,Ékaïser,Kommo-o,Grandiras,Kommo-o,짜랑고우거,ジャラランガ
,Tokorico,Tapu Koko,Kapu-Riki,Tapu Koko,카푸꼬꼬꼭,カプ・コケコ
,Tokopiyon,Tapu Lele,Kapu-Fala,Tapu Lele,카푸나비나,カプ・テテフ
,Tokotoro,Tapu Bulu,Kapu-Toro,Tapu Bulu,카푸브루루,カプ・ブルル
,Tokopisco,Tapu Fini,Kapu-Kime,Tapu Fini,카푸느지느,カプ・レヒレ
,Cosmog,Cosmog,Cosmog,Cosmog,코스모그,コスモッグ
,Cosmovum,Cosmoem,Cosmovum,Cosmoem,코스모움,コスモウム
,Solgaleo,Solgaleo,Solgaleo,Solgaleo,솔가레오,ソルガレオ
,Lunala,Lunala,Lunala,Lunala,루나아라,ルナアーラ
,Zéroïd,Nihilego,Anego,Nihilego,텅비드,ウツロイド
,Mouscoto,Buzzwole,Masskito,Buzzwole,매시붕,マッシブーン
,Cancrelove,Pheromosa,Schabelle,Pheromosa,페로코체,フェローチェ
,Câblifère,Xurkitree,Voltriant,Xurkitree,전수목,デンジュモク
,Bamboiselle,Celesteela,Kaguron,Celesteela,철화구야,テッカグヤ
,Katagami,Kartana,Katagami,Kartana,종이신도,カミツルギ
,Engloutyran,Guzzlord,Schlingking,Guzzlord,악식킹,アクジキング
,Necrozma,Necrozma,Necrozma,Necrozma,네크로즈마,ネクロズマ
,Magearna,Magearna,Magearna,Magearna,마기아나,マギアナ
,Marshadow,Marshadow,Marshadow,Marshadow,마샤도,マーシャドー
,Vémini,Poipole,Venicro,Poipole,베베놈,ベベノム
,Mandrillon,Naganadel,Agoyon,Naganadel,아고용,アーゴヨン
,Ama-Ama,Stakataka,Muramura,Stakataka,차곡차곡,ツンデツンデ
,Pierroteknik,Blacephalon,Kopplosio,Blacephalon,두파팡,ズガドーン
,Zeraora,Zeraora,Zeraora,Zeraora,제라오라,ゼラオラ
